loading backgrounds (first run decodes them, ~15 s)...
game started (pid 1024356); play, then quit the game to finish
[   0.0s] 0 palettes, on screen: -, elsewhere in memory: - (0.0s scan)
[   5.0s] 2 palettes, on screen: -, elsewhere in memory: - (2.5s scan)
[  10.0s] 3 palettes, on screen: ['signin/30600/0'], elsewhere in memory: - (1.9s scan)
[  15.0s] 3 palettes, on screen: ['signin/30600/0'], elsewhere in memory: - (1.9s scan)
[  20.0s] 3 palettes, on screen: ['cws4/3500/0'], elsewhere in memory: - (1.9s scan)
[  25.0s] 3 palettes, on screen: ['cws4/3500/0'], elsewhere in memory: - (1.9s scan)
[  30.0s] 2 palettes, on screen: ['cws4/3500/0'], elsewhere in memory: - (1.9s scan)
[  35.0s] 3 palettes, on screen: ['cws4/3500/0'], elsewhere in memory: - (1.9s scan)
[  40.0s] 3 palettes, on screen: ['cws4/3500/0'], elsewhere in memory: - (1.9s scan)
[  45.0s] 3 palettes, on screen: ['cws4/3500/0'], elsewhere in memory: - (1.9s scan)
[  50.0s] 3 palettes, on screen: ['cws4/3500/0'], elsewhere in memory: - (1.9s scan)
[  55.0s] 3 palettes, on screen: ['cws4/3500/0'], elsewhere in memory: - (1.9s scan)
[  60.0s] 3 palettes, on screen: ['cws4/3500/0'], elsewhere in memory: - (1.9s scan)
[  65.0s] 3 palettes, on screen: ['cws4/3500/0'], elsewhere in memory: - (1.9s scan)
[  70.0s] 3 palettes, on screen: ['cws4/3500/0'], elsewhere in memory: - (1.9s scan)
[  75.0s] 3 palettes, on screen: ['cws4/3500/0'], elsewhere in memory: - (1.9s scan)
[  80.0s] 2 palettes, on screen: ['cloc06/7500/0'], elsewhere in memory: - (1.9s scan)
[  85.0s] 2 palettes, on screen: ['cloc06/7500/0'], elsewhere in memory: - (1.9s scan)
[  90.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[  95.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 100.0s] 2 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 105.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 110.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 115.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 120.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 125.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 130.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 135.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 140.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 145.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 150.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (2.0s scan)
[ 155.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 160.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 165.0s] 2 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 170.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 175.0s] 3 palettes, on screen: ['cws3/3000/0'], elsewhere in memory: - (1.9s scan)
[ 180.0s] 3 palettes, on screen: ['cws2/2500/0'], elsewhere in memory: - (1.9s scan)
[ 185.0s] 3 palettes, on screen: ['cws2/2500/0'], elsewhere in memory: - (1.9s scan)
[ 190.0s] 3 palettes, on screen: ['cws2/2500/0'], elsewhere in memory: - (1.9s scan)
[ 195.0s] 3 palettes, on screen: ['cws2/2500/0'], elsewhere in memory: - (1.8s scan)
[ 200.0s] 2 palettes, on screen: ['cws2/2500/0'], elsewhere in memory: - (1.9s scan)
[ 205.0s] 3 palettes, on screen: ['cws2/2500/0'], elsewhere in memory: - (1.9s scan)
[ 210.0s] 2 palettes, on screen: ['cws2/2500/0'], elsewhere in memory: - (1.9s scan)
[ 215.0s] 3 palettes, on screen: ['cws2/2500/0'], elsewhere in memory: - (1.9s scan)
[ 220.0s] 2 palettes, on screen: ['cws2/2500/0'], elsewhere in memory: - (1.9s scan)
[ 225.0s] 3 palettes, on screen: ['cws2/2500/0'], elsewhere in memory: - (1.9s scan)
[ 230.0s] 3 palettes, on screen: ['cws2/2500/0'], elsewhere in memory: - (1.9s scan)
[ 235.0s] 2 palettes, on screen: ['cws2/2500/0'], elsewhere in memory: - (1.9s scan)
